id,topic,question_en,question_zh,options_en,options_zh,answer_index
45,Set B - Ch3 History,Who invented the television system that enabled the first London–Glasgow broadcast in 1932?,誰發展出電視系統，促成1932年倫敦至格拉斯哥的首次電視傳送？,John Logie Baird | Guglielmo Marconi | James Clerk Maxwell | Thomas Edison,約翰·洛吉·貝爾德 | 馬可尼 | 馬克士威 | 愛迪生,0
46,Set B - Ch3 History,Who is celebrated as the inventor of the World Wide Web?,誰被譽為萬維網的發明者？,Bill Gates | Steve Jobs | Sir Tim Berners‑Lee | Linus Torvalds,比爾·蓋茲 | 史蒂夫·喬布斯 | 提姆·伯納斯‑李 | 李納斯·托瓦茲,2
47,Set B - Ch3 History,What was a social change for women in the 1960s mentioned in the handbook?,手冊中提及的1960年代女性社會變化之一是？,Loss of property rights | Equal pay laws and anti‑discrimination | Ban from universities | Loss of voting rights,喪失財產權 | 同工同酬與反歧視法律 | 禁止上大學 | 失去投票權,1
48,Set B - Ch3 History,Which battle is linked to the phrase ‘the Dunkirk spirit’?,哪個事件與“敦刻爾克精神”這一說法相關？,Evacuation of troops from France in 1940 | Battle of Trafalgar | Battle of Waterloo | Battle of the Somme,1940年從法國撤離部隊 | 特拉法加海戰 | 滑鐵盧戰役 | 索姆河戰役,0
49,Set C - Ch1 Values,Which statement best describes ‘the rule of law’?,以下哪句最能描述“法治”？,"The government is above the law | Everyone, including the government, is subject to the law | Only judges follow the law | Laws apply only to citizens",政府高於法律 | 包括政府在內的所有人都受法律約束 | 只有法官需遵守法律 | 法律只適用於公民,1
50,Set C - Ch1 Values,Which of these is a way to participate in community life?,下列哪項是參與社區生活的方式？,Ignoring local issues | Volunteering and helping neighbours | Only paying taxes | Moving house often,忽視地方事務 | 做義工、幫助鄰里 | 只需納稅 | 經常搬家,1
51,Set C - Ch2 UK,Which statement about British Overseas Territories is correct?,以下關於英國海外領地的陳述何者正確？,They are part of the UK | They are linked to the UK but not part of it | They are EU member states | They are Crown dependencies,它們是英國本土的一部分 | 與英國有聯繫但不屬於英國 | 它們是歐盟成員國 | 它們是王室屬地,1
52,Set C - Ch3 History,Who led the Scottish forces to victory at Bannockburn?,誰在班諾克本戰役中率領蘇格蘭軍隊取勝？,Robert the Bruce | William Wallace | Oliver Cromwell | Bonnie Prince Charlie,羅伯特·布魯斯 | 威廉·華勒斯 | 奧利佛·克倫威爾 | 邦妮王子查理,0
53,Set C - Ch3 History,Which 18th‑century movement emphasised reason and individual belief rights?,18世紀哪一思想運動強調理性與個人信仰權利？,The Reformation | The Enlightenment | Romanticism | Mercantilism,宗教改革 | 啟蒙運動 | 浪漫主義 | 重商主義,1
54,Set C - Ch3 History,What did Chartists campaign for in the 19th century?,19世紀的憲章派（Chartists）主張的是什麼？,Abolition of Parliament | Votes for the working classes and wider suffrage | Restoration of absolute monarchy | Union with France,廢除議會 | 工人階級投票權與更廣泛選舉權 | 恢復君主專制 | 與法國合併,1
55,Set C - Ch3 History,Which war between Britain and the Boers ended in 1902?,英國與布爾人之間於1902年結束的是哪場戰爭？,Boer War | Crimean War | WWI | Seven Years War,布爾戰爭 | 克里米亞戰爭 | 第一次世界大戰 | 七年戰爭,0
56,Set C - Ch3 History,Which is a symbol of the union of Lancaster and York?,哪個符號象徵蘭開斯特與約克的聯合？,The Saltire | The Tudor Rose (red with white inside) | The Dragon | The Shamrock,蘇格蘭聖安德魯十字 | 都鐸玫瑰（紅外白內） | 巨龍 | 三葉草,1
57,Set C - Ch3 History,Which new power did Parliament gain under the Bill of Rights regarding the military?,依據《權利法案》，議會關於軍隊獲得了哪項新權力？,Appointing all officers | Annual approval of army and navy funding | Commanding troops in battle | Abolishing the navy,任命所有軍官 | 每年批准陸海軍經費 | 戰場指揮部隊 | 廢除海軍,1
58,Set C - Ch3 History,What does ‘Home Rule’ refer to in Irish history?,在愛爾蘭歷史中，“自治”（Home Rule）指的是什麼？,Full independence outside the UK | Self‑governing parliament while remaining in the UK | Direct rule from London | Union with Scotland,完全脫英獨立 | 留在英國內但有自治議會 | 倫敦直接統治 | 與蘇格蘭合併,1
59,Set C - Ch3 History,Which city’s glass is famous for its medieval stained windows mentioned in the handbook?,手冊提到哪座城市的中世紀彩繪玻璃著名？,York Minster | Canterbury | Westminster | Durham,約克大教堂 | 坎特伯里 | 威斯敏斯特 | 達勒姆,0
60,Set C - Ch3 History,Which two planes were most important for the RAF in the Battle of Britain?,不列顛之戰中皇家空軍的兩種重要戰機是？,Spitfire and Hurricane | Lancaster and Wellington | Harrier and Tornado | Concorde and Comet,噴火式與颶風式 | 蘭開斯特與威靈頓 | 鷂式與龍捲風 | 協和號與彗星號,0
61,Set C - Ch3 History,Which 20th‑century medicine was discovered by Alexander Fleming?,20世紀由亞歷山大·弗萊明發現的藥物是？,Insulin | Penicillin | Morphine | Aspirin,胰島素 | 盤尼西林 | 嗎啡 | 阿司匹林,1
62,Set C - Ch3 History,Which poet wrote Auld Lang Syne?,誰寫了《友誼地久天長》？,Robert Burns | William Wordsworth | Samuel Johnson | T. S. Eliot,羅伯特·彭斯 | 威廉·華茲華斯 | 塞繆爾·約翰遜 | 艾略特,0
63,Set C - Ch3 History,What was the main reason Britain fought at Trafalgar (1805)?,英國在1805年特拉法加之戰的主要原因是？,To end WWI | To defeat combined French and Spanish fleets | To fight the USA | To stop Vikings,結束一戰 | 擊敗法西聯合艦隊 | 對抗美國 | 阻止維京人,1
64,Set C - Ch3 History,What did the 1847 Factory Act limit?,1847年工廠法限制了什麼？,Men’s wages | Women and children’s working hours to 10 per day | Trade unions | Coal prices,男性工資 | 女性與兒童每日工時為10小時 | 工會 | 煤價,1
65,Set C - Ch3 History,What did the 1944 Education Act (Butler Act) introduce?,1944年《教育法》（巴特勒法案）引入了什麼？,Free secondary education in England and Wales | University fees for all | End of schooling at 12 | Abolition of exams,英格蘭與威爾士的免費中等教育 | 所有人大學收費 | 12歲結束學校教育 | 廢除考試,0
66,Set C - Ch3 History,"What is the main purpose of NATO, which the UK joined after WWII?",英國戰後加入的北約（NATO）主要目的為何？,Cultural exchange | Resist perceived threats from the Soviet Union and allies | Build the EU | Abolish armies,文化交流 | 抵禦來自蘇聯及其盟友的威脅 | 建立歐盟 | 廢除軍隊,1
67,Set C - Ch3 History,Who is remembered for building the Great Western Railway?,誰因建造“大西部鐵路”而被銘記？,George Stephenson | Isambard Kingdom Brunel | Richard Arkwright | Robert Peel,喬治·史蒂芬森 | 伊桑巴德·金德姆·布魯內爾 | 阿克賴特 | 羅伯特·皮爾,1
68,Set C - Ch3 History,Which conflict saw more than a million soldiers from India fight for Britain?,哪場衝突中有超過百萬印度士兵為英國作戰？,Boer War | First World War | Second World War | Crimean War,布爾戰爭 | 第一次世界大戰 | 第二次世界大戰 | 克里米亞戰爭,1
69,Set C - Ch3 History,What did William Wilberforce campaign for?,威廉·威伯福斯為何而奮鬥？,Women’s suffrage | Abolition of the slave trade and slavery | Universal conscription | Creation of the BBC,女性選舉權 | 廢除奴隸貿易與奴隸制 | 普遍徵兵 | 成立BBC,1
70,Set C - Ch3 History,"Which 20th‑century British invention allows exact, non‑invasive imaging of internal organs?",20世紀哪項英國發明能夠對內臟進行精準、非侵入式成像？,X‑ray | MRI scanner (Sir Peter Mansfield co‑inventor) | Ultrasound | CT scan,X光 | 核磁共振掃描儀（彼得·曼斯菲爾德共同發明） | 超聲波 | 電腦斷層,1
71,Set C - Ch1 Values,Which statement about the Life in the UK handbook is correct?,關於《英國生活》手冊，下列哪項正確？,Only Chapter 1 is testable | Questions are based on all parts of the handbook | Only dates are tested | Only laws are tested,只有第一章會考 | 題目基於整本手冊 | 只考日期 | 只考法律,1
72,Set C - Ch2 UK,Which statement about devolved institutions is correct?,關於權力下放機構，下列哪項正確？,"Scotland, Wales and Northern Ireland have parliaments/assemblies with defined powers | Only England has a parliament | Devolution ended in 1901 | The UK Parliament no longer exists",蘇格蘭、威爾士、北愛有各自的議會/大會並擁有特定權力 | 只有英格蘭有議會 | 權力下放於1901年終止 | 英國議會已不存在,0
73,Set D,How many nations make up the United Kingdom?,英國由多少個「構成國」組成？,3 | 4 | 5 | 6,3 | 4 | 5 | 6,1
74,Set D,What is the capital city of Scotland?,蘇格蘭的首都是哪一個城市？,Edinburgh | Cardiff | Belfast | Manchester,愛丁堡 | 加的夫 | 貝爾法斯特 | 曼徹斯特,0
75,Set D,Which patron saint is associated with Wales?,與威爾士相關的主保聖人是誰？,St George | St Andrew | St David | St Patrick,聖喬治 | 聖安德魯 | 聖大衛 | 聖派屈克,2
76,Set D,What are the colours of the Union Flag (Union Jack)?,聯合旗（Union Jack）的顏色為何？,Red white and blue | Green white and orange | Red yellow and black | Blue white and gold,紅白藍 | 綠白橙 | 紅黃黑 | 藍白金,0
77,Set D,Where is the UK Prime Minister’s official residence?,英國首相的官邸在哪裡？,10 Downing Street | Buckingham Palace | Windsor Castle | Holyroodhouse,唐寧街10號 | 白金漢宮 | 溫莎堡 | 荷里路德宮,0
78,Set D,What are the two houses of the UK Parliament?,英國議會由哪兩院組成？,House of Commons and House of Lords | Senate and Assembly | Diet and Council | Congress and Senate,下議院與上議院 | 參議院與議會 | 國會與評議會 | 眾議院與參議院,0
79,Set D,In which year was the Magna Carta signed?,《大憲章》簽署於哪一年？,1066 | 1215 | 1689 | 1707,1066年 | 1215年 | 1689年 | 1707年,1
80,Set D,The Battle of Hastings took place in which year?,黑斯廷斯之戰發生在何年？,1066 | 1314 | 1415 | 1642,1066年 | 1314年 | 1415年 | 1642年,0
81,Set D,Which monarch was on the throne when the Spanish Armada was defeated in 1588?,1588年西班牙無敵艦隊被擊敗時的君主是誰？,Henry VIII | Elizabeth I | George III | Victoria,亨利八世 | 伊麗莎白一世 | 喬治三世 | 維多利亞女王,1
82,Set D,The Acts of Union in 1707 created which state?,1707年的《聯合法案》建立了哪一個國家？,United Kingdom of Great Britain and Ireland | Kingdom of Great Britain | United Kingdom of England and Wales | British Empire,大不列顛及愛爾蘭聯合王國 | 大不列顛王國 | 英格蘭及威爾士聯合王國 | 大英帝國,1
83,Set D,In which year did the Great Fire of London occur?,倫敦大火發生於哪一年？,1558 | 1588 | 1666 | 1707,1558年 | 1588年 | 1666年 | 1707年,2
84,Set D,What did the Bill of Rights (1689) confirm?,《權利法案》（1689）主要確認了什麼？,The power of Parliament over the monarch | The creation of the NHS | Universal suffrage for all adults | The union with Ireland,議會權力高於君主 | 成立國民保健服務 | 所有成年人普選 | 與愛爾蘭聯合,0
85,Set D,Which country first industrialised during the Industrial Revolution?,在工業革命中率先工業化的國家是？,Britain | France | Germany | United States,英國 | 法國 | 德國 | 美國,0
86,Set D,When did the First World War begin and end?,第一次世界大戰的起訖年份為何？,1914–1918 | 1912–1916 | 1939–1945 | 1900–1905,1914–1918年 | 1912–1916年 | 1939–1945年 | 1900–1905年,0
87,Set D,In which year was the National Health Service (NHS) founded?,國民保健服務（NHS）成立於哪一年？,1939 | 1945 | 1948 | 1952,1939年 | 1945年 | 1948年 | 1952年,2
88,Set D,In 1928, what changed about voting rights in the UK?,1928年英國的投票權出現了什麼改變？,Women gained the vote at 18 | Women got the vote on the same terms as men | Voting became compulsory | Only property owners could vote,女性可於18歲投票 | 女性獲得與男性相同的投票權 | 投票成為強制 | 只有產權者能投票,1
89,Set D,When was the modern Scottish Parliament established?,現代蘇格蘭議會是何年設立的？,1979 | 1997 | 1999 | 2007,1979年 | 1997年 | 1999年 | 2007年,2
90,Set D,Where does the Northern Ireland Assembly sit?,北愛爾蘭議會在哪裡開會？,Cardiff Bay | Stormont | Westminster | Holyrood,卡地夫灣 | 斯托蒙特 | 威斯敏斯特 | 荷里路德,1
91,Set D,What is the UK’s currency?,英國使用哪一種貨幣？,Euro | Pound sterling | Dollar | Crown,歐元 | 英鎊 | 美元 | 克朗,1
92,Set D,How many people usually sit on a jury in England and Wales?,在英格蘭與威爾士，陪審團通常有多少人？,10 | 11 | 12 | 15,10人 | 11人 | 12人 | 15人,2
93,Set D,What is the minimum age to buy alcohol in the UK?,在英國購買酒精飲品的最低年齡是？,16 | 17 | 18 | 21,16歲 | 17歲 | 18歲 | 21歲,2
94,Set D,What does “Big Ben” actually refer to?,「大笨鐘」實際上指的是？,The whole clock tower | The bell inside the clock | The Palace of Westminster | The clock face only,整座鐘樓 | 鐘樓內的大鐘 | 威斯敏斯特宮 | 只有錶面,1
95,Set D,What is the national flower of England?,英格蘭的國花是什麼？,Thistle | Rose | Daffodil | Shamrock,薊花 | 玫瑰 | 黃水仙 | 酢漿草,1
96,Set D,Which statement best describes the UK’s system of government?,下列何者最能描述英國的政體？,A constitutional monarchy with a parliamentary democracy | A presidential republic | A federal presidential system | A single-party state,立憲君主制兼議會民主 | 總統共和制 | 聯邦總統制 | 一黨制國家,0
97,Set E,Who formally appoints the UK Prime Minister?,誰會正式任命英國首相？,The Monarch | The Speaker | The Cabinet Secretary | The Lord Chancellor,君主 | 下議院議長 | 內閣秘書長 | 大法官,0
98,Set E,At least how often must general elections be held in the UK?,英國至少多久要舉行一次大選？,Every three years | Every five years | Every seven years | Every ten years,每三年 | 每五年 | 每七年 | 每十年,1
99,Set E,Who selects members of the Cabinet?,誰挑選內閣成員？,The Prime Minister | The Monarch | The Civil Service | The House of Lords,首相 | 君主 | 文官體系 | 上議院,0
100,Set E,How are Members of Parliament (MPs) elected?,下議院議員（MP）是如何產生的？,By local constituencies in a general election | Appointed by the PM | Elected by the Lords | Chosen by the Monarch,在大選中由各地方選區選出 | 由首相任命 | 由上議院選出 | 由君主挑選,0
101,Set E,What was decided in the UK’s 2016 referendum?,2016年公投中，英國作出了哪項決定？,To remain in the EU | To leave the EU | To adopt the euro | To become a republic,留在歐盟 | 脫離歐盟 | 採用歐元 | 轉為共和制,1
102,Set E,What is a life peer in the House of Lords?,上議院中的「終身貴族」是指？,A member appointed for life without hereditary title | A hereditary noble | A bishop | An elected peer,終身任命但不世襲的成員 | 世襲貴族 | 主教 | 選舉產生的貴族,0
103,Set E,Which matters are devolved to Scotland?,下列哪一項屬於蘇格蘭的移交權限？,Education and health | Defence and foreign affairs | Currency and immigration | Nuclear policy,教育與醫療 | 國防與外交 | 貨幣與移民 | 核政策,0
104,Set E,Where are the Crown Jewels kept?,英國王冠寶器收藏於哪裡？,Tower of London | British Museum | Windsor Castle | Buckingham Palace,倫敦塔 | 大英博物館 | 溫莎堡 | 白金漢宮,0
105,Set E,Where is the Lake District located?,「湖區」位於哪個地區？,England | Scotland | Wales | Northern Ireland,英格蘭 | 蘇格蘭 | 威爾士 | 北愛爾蘭,0
106,Set E,What is the highest mountain in the UK?,英國最高峰是哪一座？,Ben Nevis | Snowdon | Scafell Pike | Slieve Donard,本尼維斯峰 | 斯諾登山 | 斯卡費爾峰 | 斯利夫多納德,0
107,Set E,Which court in England and Wales hears serious criminal cases?,在英格蘭與威爾士，哪個法院審理重大刑事案件？,Crown Court | Magistrates’ Court | County Court | Family Court,皇家刑事法院 | 治安法庭 | 郡法院 | 家事法院,0
108,Set E,What symbol is on the flag of Wales?,威爾士國旗上的是哪個圖案？,A red dragon | A white rose | A golden harp | A black eagle,紅龍 | 白玫瑰 | 金色豎琴 | 黑鷹,0
109,Set E,What is the minimum driving age for a car in the UK (most cases)?,在英國（多數情況），小客車駕照的最低年齡是？,16 | 17 | 18 | 21,16歲 | 17歲 | 18歲 | 21歲,1
